timestamp,Open,High,Low,Close,Volume
2021-03-22,1393.236563052771,1393.236563052771,1318.0363401017098,1346.490478515625,662738
2021-03-23,1333.2795542861131,1374.9445403575542,1314.9876091815781,1364.7823486328125,811640
2021-03-24,1345.474399864251,1435.9179207010473,1345.474399864251,1432.8692626953125,753206
2021-03-25,1460.307174650312,1495.8748511379674,1418.642182193344,1439.9827880859375,1114960
2021-03-26,1444.0474858026723,1464.3718698393038,1371.8959224726302,1374.944580078125,868062
2021-03-29,1383.0743661352628,1422.7069159363468,1362.7499816218865,1376.97705078125,751013
2021-03-30,1403.3988293678976,1434.9016271306818,1390.1879786931818,1397.301513671875,520023
2021-03-31,1373.928433301972,1377.9933103235755,1311.9390587225193,1333.2796630859375,645236
2021-04-01,1284.5010189534767,1287.54967643517,1263.160416581623,1264.1766357421875,583808
2021-04-05,1234.7063203024925,1237.7549778834862,1179.8304838446038,1189.99267578125,554821
2021-04-06,1193.0413818359375,1200.1549164806152,1169.6683394319966,1193.0413818359375,447970
2021-04-07,1196.0901234420305,1207.2685358106476,1173.7332987047962,1182.8792724609375,440629
2021-04-08,1151.3763680106892,1160.5223409251607,1144.262833521656,1145.279052734375,420758
2021-04-09,1160.5223857324836,1167.6359204961677,1122.9222734101527,1124.9547119140625,589418
2021-04-12,1135.1167400552213,1149.3438075223414,1124.9545490072785,1130.03564453125,387774
2021-04-13,1112.7601287614054,1115.808786648423,1085.3222077782475,1089.3870849609375,466623
2021-04-14,1087.3545440481548,1137.14928485036,1086.3383248481098,1129.01953125,541399
2021-04-15,1098.5329701655085,1100.5654085931967,1073.1274898194051,1076.1761474609375,605792
2021-04-16,1074.1437827601578,1091.4195105812767,1071.095124909372,1073.1275634765625,399960
2021-04-19,1089.387065852325,1121.9060827434391,1077.1924345181571,1103.6141357421875,639063
2021-04-20,1108.6949953813614,1147.3113196934528,1096.5003666512273,1126.9869384765625,575549
2021-04-21,1140.1980563693576,1151.3764686867044,1095.4844070999711,1097.516845703125,510230
2021-04-22,1101.581619767231,1149.3439224693154,1091.4194277029574,1137.1492919921875,864813
2021-04-23,1130.035939676184,1131.0521590463964,1080.2411905357765,1094.46826171875,486552
2021-04-26,1091.4194942239337,1099.549248370853,1070.0788895882702,1072.111328125,496975
2021-04-27,1069.0626516458137,1096.5005714123888,1068.0464323951999,1086.33837890625,485086
2021-04-28,1089.3868650988668,1104.6301514575264,1080.240893283671,1098.5328369140625,365026
2021-04-29,1064.9977588439256,1118.8573783274448,1060.9328819017733,1085.3221435546875,534448
2021-04-30,1110.7275965666968,1116.8249118268984,1085.3221163158576,1106.6627197265625,431578
2021-05-03,1095.484456895273,1130.035914719428,1087.3547021131187,1123.9385986328125,363408
2021-05-04,1151.376386534493,1225.5603902564858,1147.3115096182194,1184.91162109375,1035810
2021-05-05,1162.554867393092,1206.252296849301,1153.4088937859785,1197.1063232421875,496106
2021-05-06,1201.170897165934,1225.5601539611816,1168.6518881056043,1170.684326171875,646254
2021-05-07,1139.1819167234805,1153.4089879403662,1115.8088711528828,1141.21435546875,606258
2021-05-10,1155.4413263181975,1229.625334076534,1154.4251070338369,1227.5928955078125,542145
2021-05-11,1296.6958745068841,1304.825629205987,1223.5280822149598,1231.6578369140625,1037047
2021-05-12,1290.5985978551516,1338.3609081694763,1263.1606749086247,1327.1824951171875,1294955
2021-05-13,1290.5986224886208,1328.1987398367144,1259.095821467245,1297.712158203125,939587
2021-05-14,1257.0631314299233,1264.1766657225744,1200.1548570887142,1212.3494873046875,699000
2021-05-17,1231.6578688896468,1266.2093272578381,1223.5281139794843,1233.6903076171875,551846
2021-05-18,1221.4955737186365,1262.1443448906377,1208.284723087736,1258.0794677734375,466590
2021-05-19,1323.1174338169192,1328.1985299529288,1249.9496494583798,1254.0145263671875,890112
2021-05-20,1236.738606385643,1238.7710445226778,1170.6843669320137,1180.8465576171875,665770
2021-05-21,1163.5710150503082,1205.2360033621533,1158.4899189147175,1200.1549072265625,484174
2021-05-24,1174.74943592844,1178.814312869369,1126.9871318725259,1139.1817626953125,458792
2021-05-25,1122.92241687843,1148.327901423191,1115.8088812058973,1134.100830078125,440627
2021-05-26,1129.0196792809672,1136.1332146139705,1117.841266614819,1122.92236328125,351830
2021-05-27,1126.9870839127489,1138.1654950245975,1118.8573303768587,1136.133056640625,354521
2021-05-28,1122.9222734101527,1128.0033696699272,1108.6952038827842,1124.9547119140625,359710
2021-06-01,1111.743796032955,1150.3601253284326,1105.6464808810376,1136.133056640625,473457
2021-06-02,1132.0680827408385,1147.311369312753,1120.8896725881013,1130.03564453125,399905
2021-06-03,1159.5060785055784,1182.8791195271633,1146.2952292325087,1165.6033935546875,508244
2021-06-04,1145.279142799132,1146.2953620917665,1100.5654939232118,1104.63037109375,629577
2021-06-07,1111.743883348794,1117.8411989795918,1094.4681557282004,1095.484375,412586
2021-06-08,1077.1925324251395,1110.7277716421484,1068.0465580932278,1094.46826171875,523978
2021-06-09,1079.2249395893896,1094.4682296965843,1072.111404206032,1092.435791015625,334262
2021-06-10,1089.3869495226945,1094.4680453693488,1056.8679361041065,1057.8841552734375,777025
2021-06-11,1057.8845168757184,1064.998053492558,1049.7547607421875,1049.7547607421875,315215
2021-06-14,1046.7058815519174,1057.8842938791709,1020.2841796875,1020.2841796875,373570
2021-06-15,1022.3166780742149,1046.7059427598822,1020.2842393504094,1039.5924072265625,452394
2021-06-16,1035.5274783221996,1084.3060052696633,1025.3652852081445,1051.7869873046875,812466
2021-06-17,1060.9328642725345,1061.9490834911865,1001.9921495907271,1011.1381225585938,822594
2021-06-18,1025.3651359273315,1041.6246425426311,1015.2029442927693,1034.5111083984375,652547
2021-06-21,1033.495027404785,1053.8194133911134,1012.1544221191406,1016.2192993164062,488807
2021-06-22,1017.235432879915,1020.2840905209138,982.6839796152625,987.7650756835938,591276
2021-06-23,986.7488241608611,992.8461392432145,975.5704131765465,985.7326049804688,417638
2021-06-24,968.4568319240537,973.5379275794791,954.229764088863,967.4406127929688,562975
2021-06-25,962.3597916896988,976.5868635837387,960.3273528476931,969.4733276367188,473511
2021-06-28,960.3271099588145,960.3271099588145,933.9054116953974,934.921630859375,479222
2021-06-29,936.9542143769316,944.067749627082,924.7595825195312,924.7595825195312,413761
2021-06-30,926.7919633393735,933.9054981457065,923.7433055652309,928.8244018554688,361911
2021-07-01,932.889278887659,943.0514714681345,924.7595248232784,928.8244018554688,374674
2021-07-02,913.5811479702558,915.6135865641829,894.2729813279478,896.305419921875,452681
2021-07-06,891.2242233556344,912.5648261953932,882.0782507100237,886.1431274414062,752240
2021-07-07,867.8511909264361,894.2728899476157,865.8187525401916,879.0296020507812,795751
2021-07-08,916.6297269338376,926.7919190284478,888.1755890689291,895.2891235351562,882074
2021-07-09,900.3703763043438,904.4352538497359,874.9648916456434,878.0135498046875,516157
2021-07-12,866.8349932040388,880.0458430418495,864.8025547674525,868.867431640625,418965
2021-07-13,870.8998700772113,873.9485277320907,845.4943896198831,868.867431640625,832274
2021-07-14,850.5754663803998,869.8836310891544,845.4943704044118,863.7863159179688,776626
2021-07-15,863.7864056755515,896.305423300984,862.7701863747567,881.0621337890625,900884
2021-07-16,873.9485704576647,905.4513677648596,867.8512548498205,902.4027099609375,660944
2021-07-19,929.8406791267814,945.083968948532,920.6947052337312,924.7595825195312,1068910
2021-07-20,916.6297564370911,931.873045069637,881.0620829611508,893.2567138671875,739705
2021-07-21,896.305337545755,897.3215567493216,871.9160766601562,871.9160766601562,455142
2021-07-22,870.8999345325288,870.8999345325288,853.6242065429688,853.6242065429688,494978
2021-07-23,844.4780226082637,853.6239939722522,822.1212037185143,825.1698608398438,686675
2021-07-26,829.234888599537,835.3322039568866,820.0889155635127,823.1375732421875,470524
2021-07-27,824.153843929893,879.029685572574,824.153843929893,849.559326171875,1006849
2021-07-28,842.44569119876,857.6889787355288,828.2186228311091,839.3970336914062,836006
2021-07-29,843.4618902729142,843.4618902729142,827.2023839544001,834.31591796875,515245
2021-07-30,862.7702063690845,863.7864256934297,844.4782585308707,847.5269165039062,640469
2021-08-02,836.348503936109,852.6080131256324,832.2836266387282,847.5269165039062,576138
2021-08-03,843.4619811341003,866.8350239848043,832.2835693359375,832.2835693359375,657346
2021-08-04,833.2997238065568,840.4132580341737,822.1213128774444,828.2186279296875,558566
2021-08-05,824.1537527465821,828.2186294555664,811.9591226196289,812.975341796875,434928
2021-08-06,821.1051347897377,831.2673270519869,815.0078194323881,823.1375732421875,538201
2021-08-09,820.0888671875,828.2186205177354,816.0239905223823,820.0888671875,532328
2021-08-10,816.0240612658826,840.4133233709649,813.9916227571257,832.2835693359375,625858
2021-08-11,823.1375834889656,845.4944067442214,819.0727065334645,835.3322143554688,626026
2021-08-12,839.397068000221,849.5592601067613,824.1537798404107,826.1862182617188,457466
2021-08-13,825.1700534986413,828.2187113317643,816.0240799992721,818.0565185546875,367321
2021-08-16,826.1861948041773,852.6078935310022,817.0402221679688,817.0402221679688,734373
2021-08-17,835.3321570149345,855.656540397293,829.234842000227,839.3970336914062,1162784
2021-08-18,843.4619320140166,865.818754308364,832.2835208668429,863.7863159179688,930999
2021-08-19,878.0134662828947,879.029685572574,838.3809139854029,849.559326171875,1053963
2021-08-20,843.4619577666859,845.4943962191358,821.1051347897377,823.1375732421875,721627
2021-08-23,816.0240062940337,817.040225479954,782.4887731586624,786.5536499023438,732145
2021-08-24,782.4888433782187,786.553720486677,775.3753084384167,779.440185546875,483904
2021-08-25,778.4239501953125,783.5050464759607,773.3428539146643,778.4239501953125,496667
2021-08-26,782.4887323930419,794.6833619887776,777.407636728152,791.6347045898438,771065
2021-08-27,787.5699001700276,790.6185578481052,765.2130771974591,769.2779541015625,592823
2021-08-30,764.1969124571918,764.1969124571918,739.8076492936644,741.840087890625,645950
2021-08-31,741.8400590406741,754.034690148192,740.8238397817142,743.8724975585938,624342
2021-09-01,737.7751947096837,741.8400718155222,728.6292212215471,740.8238525390625,627782
2021-09-02,733.7103493582207,748.953639164832,730.6616913968985,742.8563232421875,685212
2021-09-03,747.9372271568119,748.9534462154488,732.6939412772573,734.7263793945312,570295
2021-09-07,733.7104013413813,741.8401564808979,727.6130849867437,730.6617431640625,523952
2021-09-08,733.7102411291102,753.0184053693498,732.6940219585712,739.8075561523438,700440
2021-09-09,738.7913886453019,748.9535810613309,731.6778539540817,746.921142578125,727511
2021-09-10,736.7589355306637,766.2292929518903,731.6778394235557,765.2130737304688,778042
2021-09-13,749.9698011970014,778.4239399958036,746.9211434685583,766.2293090820312,1081866
2021-09-14,756.0672112715872,778.4240374113384,750.9861144216437,772.3267211914062,896416
2021-09-15,769.2781432118377,783.5052158736154,752.0024121225362,754.0348510742188,713430
2021-09-16,762.1646068809489,775.3754600668854,749.9699731708537,754.0348510742188,664802
2021-09-17,756.0670394897461,786.5536136627197,756.0670394897461,780.456298828125,929447
2021-09-20,816.0239978252014,858.705203190903,805.8618060714629,828.2186279296875,1277145
2021-09-21,815.0078069445245,833.2997527362969,806.8780532592924,826.1862182617188,932269
2021-09-22,818.0564429763001,826.186196446872,791.6347441969414,801.7969360351562,892691
2021-09-23,793.667255426479,798.7483518120519,772.326650607073,779.440185546875,683782
2021-09-24,794.6833628709403,796.7158011391525,774.3589801888191,776.3914184570312,580513
2021-09-27,797.7320844277568,811.9591534493984,790.6185499169361,795.6996459960938,651476
2021-09-28,827.2024094005357,866.8349572710772,822.121313519697,862.7700805664062,1282712
2021-09-29,853.6242475665983,872.9324150710809,838.3809574314805,867.851318359375,988428
2021-09-30,856.6728674754897,880.0459113093406,843.4620166128784,876.9972534179688,1102799
2021-10-01,872.9323014188404,903.4188777198476,852.607917218169,860.7376708984375,912870
2021-10-04,872.9322441270616,931.8729544406466,869.8835866970486,914.5972290039062,1093242
2021-10-05,906.4676130345633,908.5000516288112,859.7215253668617,876.9972534179688,937071
2021-10-06,902.402658509814,909.5161929800491,858.7052324783704,860.7376708984375,1166859
2021-10-07,837.3646078561665,842.4457037776239,818.0564433546286,836.348388671875,832074
2021-10-08,829.2348370295699,853.6240969422043,827.202398703517,850.575439453125,715582
2021-10-11,860.7376778942801,869.8836508589181,835.3321974369518,868.867431640625,835242
2021-10-12,858.7053060697376,883.0945692007125,854.6404288812419,876.9972534179688,847504
2021-10-13,860.7377286754894,875.9810178491994,851.5917551712633,856.6728515625,716126
2021-10-14,830.2511893420962,835.3322859720968,807.8943641700936,808.9105834960938,725419
2021-10-15,800.7808326789573,808.9105873254441,793.6672973632812,793.6672973632812,499992
2021-10-18,802.8131885604153,806.8780654645186,769.2779541015625,769.2779541015625,595456
2021-10-19,763.1808263567901,768.2619237359964,752.0024121225362,754.0348510742188,562785
2021-10-20,749.9697464420528,765.2130339713628,745.9048697675702,755.0508422851562,593636
2021-10-21,760.1320352632706,763.1806931587115,740.8238685921448,741.840087890625,534139
2021-10-22,749.9698262750146,771.3104310877183,742.8562913374467,760.1320190429688,744554
2021-10-25,752.002261247306,764.1968925107759,730.6616565362339,736.7589721679688,661824
2021-10-26,723.5482074169854,737.7752789111396,709.3211359228312,730.6617431640625,1045786
2021-10-27,727.612927537145,729.6453658822209,706.2723249138488,724.5642700195312,907050
2021-10-28,714.4020722762398,718.4669489321501,699.1587848165761,701.1912231445312,790056
2021-10-29,718.4670812862436,720.4995199886092,688.9967201019422,690.012939453125,817806
2021-11-01,687.9803427799673,700.1749721940878,682.8992471907504,683.9154663085938,738097
2021-11-02,685.9480499681844,686.9642693014706,671.7209793021776,673.75341796875,628822
2021-11-03,671.720884329062,677.8181994666934,650.380281347352,652.4127197265625,964349
2021-11-04,646.3154616348193,649.3641194727194,622.9424182109186,629.0397338867188,1189771
2021-11-05,618.8775093659783,633.1045785468053,614.8126324571706,627.0072631835938,1189386
2021-11-08,627.0072953281187,632.0883917246189,620.9099796523185,629.0397338867188,805918
2021-11-09,623.9585875981205,648.3478483511415,621.9261492020354,641.2343139648438,1288020
2021-11-10,655.4613633589311,679.8506233908913,641.2342950069543,670.7046508789062,1627902
2021-11-11,654.4452732430848,666.6399056637633,652.412834506305,663.5912475585938,766002
2021-11-12,657.4938376704349,666.639810682852,640.2181108692024,642.2505493164062,923637
